id,field,title,type,priority,status,order1,duration,scene,assets,qc,difficulty,source,source_status,final
BAS-001,기초 해부,치아 단면과 각 조직의 역할,구조·원리,2차 확장,기획 후보,,20.0,겉면에서 내부로 투명화하며 법랑질·상아질·치수를 순서대로 표시,자연치 단면·치수·치주인대·치조골,치근 표면에 법랑질을 그리지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-002,기초 해부,잇몸·치주인대·치조골의 관계,구조·원리,2차 확장,기획 후보,,20.0,치근 주위를 확대해 인대와 뼈의 연결을 따라 이동,자연치 단면·치수·치주인대·치조골,자연치와 뼈 사이 치주인대 공간 유지,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-003,기초 해부,앞니와 어금니의 모양과 역할,비교·선택,2차 확장,기획 후보,,20.0,앞니 절단과 어금니 분쇄 동작을 각각 보여주기,자연치 단면·치수·치주인대·치조골,치종별 치관·치근 형태 혼동 금지,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-004,기초 해부,치아 뿌리와 근관은 어떻게 다른가,구조·원리,2차 확장,기획 후보,,20.0,치근 외형 안으로 근관 경로를 투명하게 표시,자연치 단면·치수·치주인대·치조골,치근 수와 근관 수를 같다고 단정하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-005,기초 해부,치수 속 신경과 혈관,구조·원리,2차 확장,기획 후보,,20.0,치근 끝에서 치수강으로 이어지는 신경·혈관 확대,자연치 단면·치수·치주인대·치조골,치수를 신경 한 가닥으로만 묘사하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-006,기초 해부,상악동과 위 어금니의 위치,구조·원리,전문 검토 후,기획 후보,,20.0,위턱 단면에서 치근·뼈·상악동막을 차례로 표시,자연치 단면·치수·치주인대·치조골,치근과 상악동 관계는 개인차를 명시,높음,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-007,기초 해부,아래턱 신경과 어금니의 위치,구조·원리,2차 확장,기획 후보,,20.0,하악관의 경로와 치근의 상대 위치를 따라 이동,자연치 단면·치수·치주인대·치조골,하악관을 치아 근관과 연결하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-008,기초 해부,치아 접촉점과 치간 공간,구조·원리,2차 확장,기획 후보,,20.0,치실이 접촉점을 지나 치면을 따라 움직임,자연치 단면·치수·치주인대·치조골,접촉점 아래 치은유두와 잇몸 위치 유지,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-009,기초 해부,위아래 치아가 맞물리는 모습,구조·원리,2차 확장,기획 후보,,20.0,턱을 닫으며 교두와 홈의 접촉을 확대,자연치 단면·치수·치주인대·치조골,치아끼리 관통하거나 모든 면이 붙지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
BAS-010,기초 해부,유치 아래 영구치가 자라는 모습,구조·원리,2차 확장,기획 후보,,20.0,턱뼈 속 영구치와 유치 치근 위치를 투명하게 보여주기,자연치 단면·치수·치주인대·치조골,영구치 위치와 맹출 순서는 치종별 확인,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-001,검사·진단,구강검진에서 확인하는 것,검사·진단,2차 확장,기획 후보,,20.0,거울과 탐침이 치아·잇몸·점막을 순서대로 확인,구강 모델·진단 도구·방사선 모식도,기구가 조직을 관통하는 표현 배제,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-002,검사·진단,치근단 사진은 무엇을 보여주나,검사·진단,2차 확장,기획 후보,,20.0,한 치아 단면과 해당 방사선 영상을 나란히 연결,구강 모델·진단 도구·방사선 모식도,2차원 겹침과 병소 판독의 한계 표시,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-003,검사·진단,파노라마에서 보는 턱과 치아,검사·진단,2차 확장,기획 후보,,20.0,전악 영상에서 치아·턱뼈·상악동 위치를 대응,구강 모델·진단 도구·방사선 모식도,방사선 사진을 실제 색 조직처럼 혼동하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-004,검사·진단,치과 CT로 확인하는 공간 관계,검사·진단,2차 확장,기획 후보,,20.0,연속 단면이 쌓여 치근·신경·뼈를 재구성,구강 모델·진단 도구·방사선 모식도,모든 환자에게 CT가 필요하다고 표현하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-005,검사·진단,구강스캐너로 본뜨는 과정,검사·진단,2차 확장,기획 후보,,20.0,스캐너가 치면을 따라 이동하며 표면 모델을 완성,구강 모델·진단 도구·방사선 모식도,표면 스캔으로 뼈·신경까지 보인다고 표현하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-006,검사·진단,치주낭 깊이를 재는 검사,검사·진단,2차 확장,기획 후보,,20.0,치주 탐침이 치아와 잇몸 사이로 부드럽게 들어감,구강 모델·진단 도구·방사선 모식도,탐침이 치근이나 뼈를 찌르는 오류 확인,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-007,검사·진단,냉검사와 치수 반응 검사,검사·진단,2차 확장,기획 후보,,20.0,치면 자극 후 반응을 기록하는 흐름을 표시,구강 모델·진단 도구·방사선 모식도,검사 한 번만으로 치수 상태를 확정하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-008,검사·진단,씹기 검사와 균열 확인,검사·진단,2차 확장,기획 후보,,20.0,교두별로 힘을 가하며 불편한 위치를 비교,구강 모델·진단 도구·방사선 모식도,모든 균열이 엑스레이에 보인다고 표현하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-009,검사·진단,교합지로 높은 접촉을 찾는 과정,검사·진단,2차 확장,기획 후보,,20.0,교합지를 물고 표시된 접촉점을 확인,구강 모델·진단 도구·방사선 모식도,종이 표시 크기만으로 힘의 크기를 단정하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
EXM-010,검사·진단,구강사진으로 치료 전후 비교하기,검사·진단,2차 확장,기획 후보,,20.0,같은 각도·조명에서 치아와 잇몸 사진을 대응,구강 모델·진단 도구·방사선 모식도,조명 차이를 치료 효과로 보이게 하지 않기,보통,https://www.aae.org/patients/root-canal-treatment/what-is-a-root-canal/,분야 참고자료 확보·개별 대본 검증 전,
CAR-001,충치·수복,충치가 깊어지는 과정,질환 진행,1차 제작,기획 후보,6.0,30.0,표면 병소가 상아질 쪽으로 퍼지는 단면 변화를 연속 표시,자연치 단면·우식 병소·수복재,모든 초기 병소가 계속 진행한다고 단정하지 않기,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-002,충치·수복,초기 충치와 재광화,구조·원리,2차 확장,기획 후보,,20.0,표면 무기질 손실과 회복 가능 영역을 확대,자연치 단면·우식 병소·수복재,이미 생긴 큰 구멍이 저절로 메워지는 표현 금지,보통,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-003,충치·수복,치아 사이 충치,질환 진행,2차 확장,기획 후보,,30.0,접촉면 아래 병소가 퍼지는 모습을 투명화,자연치 단면·우식 병소·수복재,겉면이 멀쩡해 보여도 병소가 있을 수 있는 구조 유지,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-004,충치·수복,치아 뿌리 충치,질환 진행,2차 확장,기획 후보,,30.0,노출된 치근 표면을 따라 병소가 진행,자연치 단면·우식 병소·수복재,치관 충치와 치근 조직 층을 구분,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-005,충치·수복,레진 충전 치료 과정,치료 과정,1차 제작,기획 후보,7.0,30.0,격리·우식 제거·접착·충전·형태 조정을 순서대로 연결,자연치 단면·우식 병소·수복재,건전 조직을 과도하게 제거하거나 재료가 치수로 침범하지 않기,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-006,충치·수복,인레이 치료 과정,치료 과정,1차 제작,기획 후보,16.0,30.0,와동 준비와 스캔 후 인레이가 내면에 맞춰 안착,자연치 단면·우식 병소·수복재,삭제면과 보철 내면의 형태·삽입 방향 일치,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-007,충치·수복,온레이로 약한 교두를 덮는 과정,치료 과정,2차 확장,기획 후보,,30.0,약해진 교두 위를 덮는 보철이 내려와 접착,자연치 단면·우식 병소·수복재,인레이·크라운과 피개 범위를 구분,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-008,충치·수복,레진·인레이·온레이 선택의 차이,비교·선택,2차 확장,기획 후보,,20.0,동일 치아에서 손상 범위별 수복 범위를 비교,자연치 단면·우식 병소·수복재,한 치료가 모든 경우에 우월하다고 표현하지 않기,보통,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-009,충치·수복,수복물 주변에 다시 생기는 충치,질환 진행,2차 확장,기획 후보,,30.0,수복물 경계 부위에 생기는 병소를 확대,자연치 단면·우식 병소·수복재,재료 자체가 썩거나 모든 착색이 충치라는 표현 금지,중간,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CAR-010,충치·수복,시린 치아와 노출된 상아세관,구조·원리,1차 제작,기획 후보,27.0,20.0,노출 치경부를 확대해 세관 자극 전달을 도식화,자연치 단면·우식 병소·수복재,시림의 원인을 하나로 확정하지 않기,보통,https://www.nidcr.nih.gov/health-info/tooth-decay,분야 참고자료 확보·개별 대본 검증 전,
CRN-001,크라운·브릿지,자연치 크라운 치료 과정,치료 과정,1차 제작,기획 후보,1.0,30.0,치아 형성·스캔·임시치아·내면 시멘트·최종 크라운 안착,자연치 지대치·보철 내면·시멘트·교합,"자연치 뿌리 보존, 형성면과 크라운 내면 정합, 시멘트 위치 확인",중간,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
CRN-002,크라운·브릿지,크라운이 약한 치아를 감싸는 원리,구조·원리,2차 확장,기획 후보,,20.0,남은 치질과 이를 덮는 크라운의 단면을 회전,자연치 지대치·보철 내면·시멘트·교합,크라운을 끼우면 균열이 완치된다고 표현하지 않기,보통,https://www.mouthhealthy.org/all-topics-a-z/crowns,분야 참고자료 확보·개별 대본 검증 전,
